------------------------------------------------------------
Client connecting to 169.254.18.165, UDP port 5001
UDP buffer size:  176 KByte (default)
------------------------------------------------------------
[  3] local 169.254.21.222 port 33986 connected with 169.254.18.165 port 5001
[ ID] Interval       Transfer     Bandwidth
[  3] 109.0000-109.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 109.5000-110.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 110.0000-110.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 110.5000-111.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 111.0000-111.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 111.5000-112.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 112.0000-112.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 112.5000-113.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 113.0000-113.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 113.5000-114.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 114.0000-114.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 114.5000-115.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 115.0000-115.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 115.5000-116.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 116.0000-116.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 116.5000-117.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 117.0000-117.5000 sec   257 KBytes  4.21 Mbits/sec
[  3] 117.5000-118.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 118.0000-118.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 118.5000-119.0000 sec   257 KBytes  4.21 Mbits/sec
[  3] 119.0000-119.5000 sec   256 KBytes  4.19 Mbits/sec
[  3] 119.5000-120.0000 sec   256 KBytes  4.19 Mbits/sec
[  3] 0.0000-120.0058 sec  60.0 MBytes  4.19 Mbits/sec
[  3] Sent 0 datagrams
[  3] Server Report:
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 0.0000-120.0052 sec  60.0 MBytes  4.19 Mbits/sec   0.046 ms    0/42803 (0%)
